die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
9 x 11 3/4  BK,11 X 17 ,0,# 145,13 1/2 X 19 1/4,1 7/8
9 x 11 3/4  BK,17 1/2 X 22 1/2,1,# 145,13 1/2 X 19 1/4,1 7/8
9 x 11 3/4  BK,19 X 25,1,# 145,13 1/2 X 19 1/4,1 7/8
9 x 11 3/4  BK,23 X 29,1,# 145,13 1/2 X 19 1/4,1 7/8
9 x 11 3/4  BK,23 X 35,1,# 145,13 1/2 X 19 1/4,1 7/8
9 x 11 3/4  BK,25 X 38,1,# 145,13 1/2 X 19 1/4,1 7/8
9 x 11 3/4  BK,28 X 40,4,# 145,13 1/2 X 19 1/4,1 7/8
,,,,,
,,,,,
9 x 12  BK,14 3/4 X 20 1/8,1,# 154,14 1/4 X 19 5/8,2
9 x 12  BK,11 X 17 ,0,# 154,14 1/4 X 19 5/8,2
9 x 12  BK,17 1/2 X 22 1/2,1,# 154,14 1/4 X 19 5/8,2
9 x 12  BK,19 X 25,1,# 154,14 1/4 X 19 5/8,2
9 x 12  BK,23 X 29,1,# 154,14 1/4 X 19 5/8,2
9 x 12  BK,23 X 35,1,# 154,14 1/4 X 19 5/8,2
9 x 12  BK,25 X 38,1,# 154,14 1/4 X 19 5/8,2
9 x 12  BK,28 X 40,3,# 154,14 1/4 X 19 5/8,2
,,,,,
,,,,,
